carrot_variety,carrot_parts,agrobacteria_type,gene,conditions,time_in_MS1D_dark,time_in_MS1D_dl,time_in_half_MS1D_dl,time_in_quarter_MS1D_dl,antibiotics_in_MS1D_dl,antibiotics_in_half_MS1D_dl,antibiotics_in_qaurter_MS1D_dl,callus_status,PCR_Gel_status,GC_MS_polyacetylene_percentage
danvers_half_long,petiole,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,present,absent,20
danvers_half_long,petiole,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,present,present,15
danvers_half_long,petiole,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,absent,absent,0
danvers_half_long,petiole,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,absent,absent,0
danvers_half_long,root,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,present,absent,12
danvers_half_long,root,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,present,present,14
danvers_half_long,root,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,absent,absent,0
danvers_half_long,root,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,absent,absent,0
danvers_half_long,stem,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,present,absent,0
danvers_half_long,stem,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,present,present,24
danvers_half_long,stem,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,absent,absent,0
danvers_half_long,stem,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,absent,absent,0
danvers_half_long,leaf,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,present,absent,26
danvers_half_long,leaf,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,present,present,29
danvers_half_long,leaf,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,absent,absent,0
